,District_1,District_2
58,yamunanagar/Q1873644,karnal/Q607915
59,chamoli/Q1797372,bageshwar/Q1815313
60,chamoli/Q1797372,almora/Q1805066
61,chamoli/Q1797372,pithoragarh/Q1945425
62,rudraprayag/Q1805059,pauri_garhwal/Q2085474
63,tehri_garhwal/Q1357107,pauri_garhwal/Q2085474
64,pithoragarh/Q1945425,bageshwar/Q1815313
65,pithoragarh/Q1945425,champawat/Q288278
66,bageshwar/Q1815313,almora/Q1805066
67,almora/Q1805066,nainital/Q1797306
68,pauri_garhwal/Q2085474,haridwar/Q2270438
69,pauri_garhwal/Q2085474,bijnor/Q1937865
70,champawat/Q288278,udham_singh_nagar/Q1805082
71,nainital/Q1797306,bijnor/Q1937865
72,udham_singh_nagar/Q1805082,bijnor/Q1937865
73,udham_singh_nagar/Q1805082,pilibhit/Q2980705
74,udham_singh_nagar/Q1805082,rampur/Q1815331
75,udham_singh_nagar/Q1805082,bareilly/Q1797378
76,udham_singh_nagar/Q1805082,moradabad/Q1345006
77,bijnor/Q1937865,haridwar/Q2270438
78,bijnor/Q1937865,jyotiba_phule_nagar/Q1891677
79,bijnor/Q1937865,meerut/Q1764627
80,bareilly/Q1797378,pilibhit/Q2980705
81,bareilly/Q1797378,shahjahanpur/Q1812557
82,bareilly/Q1797378,budaun/Q1815262
83,moradabad/Q1345006,sambhal/Q3000436
84,rampur/Q1815331,budaun/Q1815262
85,pilibhit/Q2980705,kheri/Q1755447
86,haridwar/Q2270438,muzaffarnagar/Q2365710
87,muzaffarnagar/Q2365710,shamli/Q2999938
88,muzaffarnagar/Q2365710,baghpat/Q1797363
89,malappuram/Q1030918,thrissur/Q2429655
90,malappuram/Q1030918,kozhikode/Q1142979
91,malappuram/Q1030918,wayanad/Q1364427
92,malappuram/Q1030918,nilgiris/Q15188
93,malappuram/Q1030918,palakkad/Q1535742
94,wayanad/Q1364427,kodagu/Q1553185
95,wayanad/Q1364427,mysuru/Q591781
96,wayanad/Q1364427,kannur/Q2980652
97,wayanad/Q1364427,chamarajanagara/Q862912
98,jalpaiguri/Q1351487,darjeeling/Q1134759
99,jalpaiguri/Q1351487,kalimpong/Q28769140
100,jalpaiguri/Q1351487,alipurduar/Q4726845
101,jalpaiguri/Q1351487,cooch_behar/Q2728658
102,darjeeling/Q1134759,uttar_dinajpur/Q2019766
103,darjeeling/Q1134759,south_sikkim_district/Q1805051
104,darjeeling/Q1134759,west_sikkim_district/Q611357
105,darjeeling/Q1134759,kishanganj/Q77375
106,alipurduar/Q4726845,cooch_behar/Q2728658
107,alipurduar/Q4726845,kokrajhar/Q42618
108,kalimpong/Q28769140,south_sikkim_district/Q1805051
109,kalimpong/Q28769140,east_sikkim_district/Q1772832
110,madhubani/Q77474,saharsa/Q100120
111,madhubani/Q77474,sitamarhi/Q100144
112,madhubani/Q77474,supaul/Q100139
113,madhubani/Q77474,darbhanga/Q49160
114,saharsa/Q100120,khagaria/Q49175
115,saharsa/Q100120,samastipur/Q100117
116,saharsa/Q100120,madhepura/Q77746
117,darbhanga/Q49160,muzaffarpur/Q77731
118,supaul/Q100139,madhepura/Q77746
119,supaul/Q100139,araria/Q42901
120,sitamarhi/Q100144,sheohar/Q100095
121,sitamarhi/Q100144,east_champaran/Q49159
122,madhepura/Q77746,khagaria/Q49175
123,madhepura/Q77746,bhagalpur/Q49155
124,madhepura/Q77746,purnia/Q100082
125,khagaria/Q49175,munger/Q77452
126,khagaria/Q49175,begusarai/Q49157
127,samastipur/Q100117,muzaffarpur/Q77731
128,samastipur/Q100117,vaishali/Q100130
129,samastipur/Q100117,patna/Q100077
130,muzaffarpur/Q77731,sheohar/Q100095
131,muzaffarpur/Q77731,gopalganj/Q49171
132,muzaffarpur/Q77731,saran/Q100146
133,araria/Q42901,purnia/Q100082
134,sheohar/Q100095,east_champaran/Q49159
135,gopalganj/Q49171,west_champaran/Q100124
136,gopalganj/Q49171,deoria/Q731746
137,gopalganj/Q49171,kushinagar/Q825673
138,gopalganj/Q49171,siwan/Q100131
139,anantnag/Q2982349,ramban/Q2321939
140,anantnag/Q2982349,ganderbal/Q2556028
141,anantnag/Q2982349,shopiyan/Q2073646
142,anantnag/Q2982349,pulwama/Q2085364
143,anantnag/Q2982349,kulgam/Q2321867
144,anantnag/Q2982349,srinagar/Q1506029
145,bandipora/Q2983553,kupwara/Q2297306
146,bandipora/Q2983553,baramulla/Q1912057
147,ganderbal/Q2556028,srinagar/Q1506029
148,kokrajhar/Q42618,dhubri/Q42485
149,kokrajhar/Q42618,bongaigaon/Q42197
150,kokrajhar/Q42618,chirang/Q2574898
151,dhubri/Q42485,cooch_behar/Q2728658
152,dhubri/Q42485,goalpara/Q42522
153,dhubri/Q42485,south_salmara-mankachar/Q24907599
154,bongaigaon/Q42197,barpeta/Q41249
155,chirang/Q2574898,baksa/Q2360266
156,dakshin_dinajpur/Q533839,malda/Q2049820
157,uttar_dinajpur/Q2019766,malda/Q2049820
158,uttar_dinajpur/Q2019766,katihar/Q77568
159,kishanganj/Q77375,purnia/Q100082
160,south_sikkim_district/Q1805051,north_sikkim_district/Q1784149
161,west_sikkim_district/Q611357,north_sikkim_district/Q1784149
162,purnia/Q100082,katihar/Q77568
163,katihar/Q77568,malda/Q2049820
164,katihar/Q77568,sahibganj/Q767878
165,east_sikkim_district/Q1772832,north_sikkim_district/Q1784149
166,barpeta/Q41249,baksa/Q2360266
167,barpeta/Q41249,ballari/Q42779
168,barpeta/Q41249,kamrup/Q2247441
169,goalpara/Q42522,west_garo_hills/Q2329181
170,goalpara/Q42522,north_garo_hills/Q7055466
171,kamrup/Q2247441,kamrup_metropolitan/Q2464674
172,kamrup/Q2247441,darrang/Q42461
173,kamrup/Q2247441,west_khasi_hills/Q2064752
174,kamrup/Q2247441,ri bhoi/Q1884672
175,baksa/Q2360266,ballari/Q42779
176,baksa/Q2360266,udalguri/Q321998
177,darrang/Q42461,kamrup_metropolitan/Q2464674
178,darrang/Q42461,marigaon/Q42737
179,darrang/Q42461,sonitpur/Q42765
180,marigaon/Q42737,kamrup_metropolitan/Q2464674
181,marigaon/Q42737,west_karbi_anglong/Q24949218
182,marigaon/Q42737,nagaon/Q42686
183,sonitpur/Q42765,pakke_kessang/None
184,sonitpur/Q42765,west_kameng/Q15459
185,sonitpur/Q42765,bishwanath/Q28110722
186,udalguri/Q321998,west_kameng/Q15459
187,kamrup_metropolitan/Q2464674,ri bhoi/Q1884672
188,west_khasi_hills/Q2064752,north_garo_hills/Q7055466
189,west_khasi_hills/Q2064752,south_west_khasi_hills/Q15923741
190,west_khasi_hills/Q2064752,east_garo_hills/Q2085455
191,west_khasi_hills/Q2064752,east_khasi_hills/Q1945304
192,west_khasi_hills/Q2064752,south_garo_hills/Q2329228
193,north_garo_hills/Q7055466,west_garo_hills/Q2329181
194,murshidabad/Q1546240,malda/Q2049820
195,murshidabad/Q1546240,birbhum/Q2088440
196,murshidabad/Q1546240,purba_bardhaman/Q808023
197,murshidabad/Q1546240,pakur/Q2295930
198,murshidabad/Q1546240,nadia/Q1143880
199,sahibganj/Q767878,malda/Q2049820
200,sahibganj/Q767878,godda/Q638980
201,bhagalpur/Q49155,godda/Q638980
202,bhagalpur/Q49155,banka/Q43097
203,barmer/Q42016,pali/Q46925
204,barmer/Q42016,jaisalmer/Q1419708
205,barmer/Q42016,jodhpur/Q1434965
206,barmer/Q42016,kutch/Q1063417
